"country","continent","pop","avgHosp","avgDeath"
"France","Europe",65572014,6226.612,214.5824
"Korea","Asia",51360367,4272.236,87.62586
"USA","Americas",336997624,60606.1,197.709
"Turkey","Europe",84339067,5289.176,184.878
