country,continent,pop,avgHosp,avgDeath
France,Europe,"65,572,014",6226.611622,214.5853659
Korea,Asia,"51,360,367",4272.235955,87.62486127
USA,Americas,"336,997,624",60606.10373,197.7090465
Turkey,Europe,"84,339,067",5289.175926,184.8780488
